date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.601117,7.23239643,7.23239643,7.03927503,7.08755538,7.18411608,51089614,375469733.62,2,0.8417,1,-1.3441,0
2025-02-06,sh.601117,7.08755538,7.13583573,7.0489311,7.13583573,7.08755538,36580505,269036697.7,2,0.6027,1,0.6812,0
2025-02-07,sh.601117,7.13583573,7.23239643,7.07789931,7.20342822,7.13583573,59950415,445180223.85,2,0.9877,1,0.9472,0
2025-02-10,sh.601117,7.20342822,7.26136464,7.18411608,7.21308429,7.20342822,39208055,292980843.52,2,0.646,1,0.134,0
2025-02-11,sh.601117,7.22274036,7.23239643,7.1454918,7.19377215,7.21308429,33799233,251394526.52,2,0.5569,1,-0.2677,0
2025-02-12,sh.601117,7.20342822,7.23239643,7.09721145,7.16480394,7.19377215,49049949,362925747.6,2,0.8081,1,-0.4027,0
2025-02-13,sh.601117,7.15514787,7.22274036,7.11652359,7.17446001,7.16480394,47876123,356074874.2,2,0.7888,1,0.1348,0
2025-02-14,sh.601117,7.15514787,7.18411608,7.09721145,7.13583573,7.17446001,35219341,260035813.35,2,0.5803,1,-0.5384,0
2025-02-17,sh.601117,7.13583573,7.16480394,7.03927503,7.10686752,7.13583573,52765677,387522690.95,2,0.8693,1,-0.406,0
2025-02-18,sh.601117,7.09721145,7.12617966,6.9523704,6.97168254,7.10686752,56120552,409175909.11,2,0.9246,1,-1.9022,0
2025-02-19,sh.601117,6.98133861,7.0489311,6.91374612,6.9523704,6.97168254,72690016,523844569.05,2,1.1976,1,-0.277,0
2025-02-20,sh.601117,6.96202647,6.96202647,6.84615363,6.87512184,6.9523704,72302309,515570639.82,2,1.1912,1,-1.1111,0
2025-02-21,sh.601117,6.90409005,6.96202647,6.83649756,6.92340219,6.87512184,58750709,420232967.63,2,0.968,1,0.7022,0
2025-02-24,sh.601117,6.90409005,7.09721145,6.89443398,7.01996289,6.92340219,94929299,687522447.05,2,1.564,1,1.3947,0
2025-02-25,sh.601117,6.99099468,7.02961896,6.90409005,6.92340219,7.01996289,56135798,404496356.74,2,0.9249,1,-1.3755,0
2025-02-26,sh.601117,6.92340219,7.08755538,6.90409005,7.05858717,6.92340219,72221975,526196049.33,2,1.1899,1,1.9526,0
2025-02-27,sh.601117,7.0489311,7.07789931,6.9523704,7.00065075,7.05858717,45713350,331327798.08,2,0.7532,1,-0.8208,0
2025-02-28,sh.601117,6.99099468,7.03927503,6.87512184,6.89443398,7.00065075,56817292,409509741.15,2,0.9361,1,-1.5172,0
2025-03-03,sh.601117,6.90409005,7.05858717,6.87512184,7.02961896,6.89443398,71687577,520037211.8,2,1.1811,1,1.9608,0
2025-03-04,sh.601117,7.01030682,7.13583573,6.96202647,7.05858717,7.02961896,48182260,351923367.56,2,0.7938,1,0.4121,0
2025-03-05,sh.601117,7.0489311,7.06824324,6.94271433,6.96202647,7.05858717,54664624,394736749.17,2,0.9006,1,-1.368,0
2025-03-06,sh.601117,6.98133861,7.01996289,6.90409005,7.01030682,6.96202647,62442612,450650524.82,2,1.0288,1,0.6935,0
2025-03-07,sh.601117,6.99099468,7.01030682,6.89443398,6.92340219,7.01030682,73463113,527912613.7,2,1.2103,1,-1.2397,0
2025-03-10,sh.601117,6.92340219,6.98133861,6.89443398,6.9523704,6.92340219,44621731,320591368.58,2,0.7352,1,0.4184,0
2025-03-11,sh.601117,6.90409005,6.97168254,6.87512184,6.97168254,6.9523704,36949483,265321998.27,2,0.6088,1,0.2778,0
2025-03-12,sh.601117,7.00065075,7.22274036,6.98133861,7.11652359,6.97168254,130866894,962855293.9,2,2.1561,1,2.0776,0
2025-03-13,sh.601117,7.11652359,7.22274036,7.03927503,7.08755538,7.11652359,69757728,514884249.8,2,1.1493,1,-0.4071,0
2025-03-14,sh.601117,7.10686752,7.18411608,7.08755538,7.16480394,7.08755538,55790954,412830918.36,2,0.9192,1,1.0899,0
