date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.601100,62.73203354,64.08376185,61.31123882,62.53470094,61.26190567,14848100,947199067.2,2,1.1074,1,2.0776,0
2025-02-06,sh.601100,62.18936889,67.90214766,61.98216966,66.24455382,62.53470094,24345960,1614460782.58,2,1.8158,1,5.9325,0
2025-02-07,sh.601100,65.59335624,67.5864155,64.69549291,65.24802419,66.24455382,17193772,1155012683.91,2,1.2823,1,-1.5043,0
2025-02-10,sh.601100,64.9224254,65.24802419,63.12669874,64.28109445,65.24802419,11503039,746995491.31,2,0.8579,1,-1.4819,0
2025-02-11,sh.601100,63.33389797,65.4157569,63.29443145,65.18882441,64.28109445,9852556,646257735.69,2,0.7348,1,1.4121,0
2025-02-12,sh.601100,64.09362848,65.82028873,63.64963013,64.8237591,65.18882441,9294583,610012863.01,2,0.6932,1,-0.56,0
2025-02-13,sh.601100,64.80402584,65.01122507,62.00190292,62.11043585,64.8237591,14166588,907419133.27,2,1.0566,1,-4.1857,0
2025-02-14,sh.601100,62.159769,68.32641275,62.159769,68.32641275,62.11043585,22858554,1542347078.13,2,1.7048,1,10.0079,0
2025-02-17,sh.601100,71.02000274,71.1384023,68.03041385,69.60907465,68.32641275,31768018,2244224062.24,2,2.3693,1,1.8773,0
2025-02-18,sh.601100,68.8690774,74.48318987,68.3757459,70.78320362,69.60907465,28204576,2051258165.92,2,2.1035,1,1.6867,0
2025-02-19,sh.601100,70.78320362,77.85757733,70.04320637,77.85757733,70.78320362,32478496,2478091035.0,2,2.4223,1,9.9944,0
2025-02-20,sh.601100,78.21277601,85.6423484,77.13731334,81.22209816,77.85757733,32346662,2683915069.32,2,2.4125,1,4.3214,0
2025-02-21,sh.601100,80.34396809,84.57675236,79.37703835,83.4716898,81.22209816,23711245,1969280418.06,2,1.7684,1,2.7697,0
2025-02-24,sh.601100,81.3996975,83.92555478,79.58423758,80.91623263,83.4716898,22242509,1838224351.15,2,1.6589,1,-3.0615,0
2025-02-25,sh.601100,77.4530455,81.5970301,77.0583803,79.63357073,80.91623263,15651055,1264752265.7,2,1.1673,1,-1.5852,0
2025-02-26,sh.601100,81.3996975,86.05674686,81.3996975,82.32716072,79.63357073,30653772,2607400288.79,2,2.2862,1,3.3825,0
2025-02-27,sh.601100,81.2023649,82.85995874,78.93304,81.5970301,82.32716072,19853971,1625145673.66,2,1.4807,1,-0.8869,0
2025-02-28,sh.601100,79.96903615,80.4130345,76.12105045,78.3410422,81.5970301,21352952,1688834670.7,2,1.5925,1,-3.9903,0
2025-03-03,sh.601100,78.4397085,81.78449607,75.98291763,78.93304,78.3410422,16376621,1327241735.93,2,1.2214,1,0.7557,0
2025-03-04,sh.601100,78.65677436,80.906366,78.29170905,79.17970575,78.93304,16695574,1345930490.72,2,1.2452,1,0.3125,0
2025-03-05,sh.601100,82.1890279,86.00741371,82.1890279,83.71835555,79.17970575,20696924,1763282091.74,2,1.5436,1,5.7321,0
2025-03-06,sh.601100,84.58661899,87.6156744,82.77115907,85.52394884,83.71835555,17322123,1491732233.18,2,1.2919,1,2.1567,0
2025-03-07,sh.601100,85.59301525,94.07831705,84.91221778,93.732985,85.52394884,20352207,1857655940.27,2,1.5179,1,9.5985,0
2025-03-10,sh.601100,94.75911452,98.14336861,89.3916678,93.38765295,93.732985,17001465,1604078967.0,2,1.268,1,-0.3684,0
2025-03-11,sh.601100,89.8849993,92.99298775,87.04340986,92.51938951,93.38765295,21876287,1981851866.24,2,1.6316,1,-0.9297,0
2025-03-12,sh.601100,90.772996,90.772996,87.3196755,87.59594114,92.51938951,17955604,1604663506.0,2,1.3391,1,-5.3215,0
2025-03-13,sh.601100,86.3330125,87.69460744,83.59008936,83.64928914,87.59594114,20101608,1733501948.57,2,1.4992,1,-4.5055,0
2025-03-14,sh.601100,82.00156193,87.3196755,82.00156193,86.54021173,83.64928914,25815632,2224954625.95,2,1.9254,1,3.456,0
2025-03-17,sh.601100,84.7543517,86.57967825,83.53088958,85.91861404,86.54021173,13718024,1186731705.37,2,1.0231,1,-0.7183,0
2025-03-18,sh.601100,86.46127869,87.2210092,84.0636876,85.91861404,85.91861404,10906540,946060254.79,2,0.8134,1,0.0,0
2025-03-19,sh.601100,85.52394884,87.56634125,84.67541866,86.04688023,85.91861404,11781342,1030063900.08,2,0.8787,1,0.1493,0
2025-03-20,sh.601100,85.81008111,86.3330125,82.3863605,85.09968375,86.04688023,13972020,1194127279.28,2,1.042,1,-1.1008,0
2025-03-21,sh.601100,83.866355,84.3596865,81.7943627,82.1890279,85.09968375,17956824,1505262044.41,2,1.3392,1,-3.4203,0
2025-03-24,sh.601100,82.91915852,85.839681,82.1890279,85.12928364,82.1890279,15363408,1319428757.19,2,1.1458,1,3.5774,0
2025-03-25,sh.601100,83.06715797,85.4450158,81.12343186,81.4983638,85.12928364,12809216,1067943541.32,2,0.9553,1,-4.2652,0
2025-03-26,sh.601100,81.36023098,82.85995874,81.05436545,81.7943627,81.4983638,7991883,662118794.99,2,0.596,1,0.3632,0
