date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-07-16,sh.600930,5.5,10.17,5.5,7.18,3.18,1797099453,12702393308.51,2,71.7355,1,125.7862,0
2025-07-17,sh.600930,6.44,6.99,6.34,6.52,7.18,1088739260,7166192014.28,2,43.4596,1,-9.1922,0
2025-07-18,sh.600930,6.49,6.83,6.2,6.65,6.52,803896123,5302733781.16,2,32.0894,1,1.9939,0
2025-07-21,sh.600930,6.81,7.8,6.6,7.56,6.65,1229135665,8853885884.57,2,49.0639,1,13.6842,0
2025-07-22,sh.600930,7.7,7.98,7.2,7.73,7.56,1178311672,8891697068.36,2,47.0351,1,2.2487,0
2025-07-23,sh.600930,7.53,7.95,7.31,7.55,7.73,930326632,7068274329.07,2,37.1362,1,-2.3286,0
2025-07-24,sh.600930,7.35,7.4,7.1,7.13,7.55,705919027,5075998082.95,2,28.1784,1,-5.5629,0
2025-07-25,sh.600930,7.05,7.06,6.76,6.77,7.13,535084549,3661556324.47,2,21.3592,1,-5.0491,0
2025-07-28,sh.600930,6.74,6.87,6.71,6.77,6.77,274498078,1859854751.7,2,10.9572,1,0.0,0
2025-07-29,sh.600930,6.74,6.75,6.66,6.71,6.77,237263552,1586056679.22,2,9.4709,1,-0.8863,0
2025-07-30,sh.600930,6.68,6.77,6.63,6.69,6.71,242902818,1622338281.38,2,9.696,1,-0.2981,0
2025-07-31,sh.600930,6.66,6.67,6.5,6.51,6.69,258873522,1700657443.25,2,10.3335,1,-2.6906,0
2025-08-01,sh.600930,6.48,6.63,6.46,6.55,6.51,120513330,790061273.4,2,4.8106,1,0.6144,0
2025-08-04,sh.600930,6.5,6.51,6.45,6.47,6.55,127597729,824837442.02,2,5.0934,1,-1.2214,0
2025-08-05,sh.600930,6.46,6.53,6.45,6.49,6.47,100656498,652673864.99,2,4.0179,1,0.3091,0
2025-08-06,sh.600930,6.49,6.5,6.43,6.46,6.49,134220532,865224501.27,2,5.3577,1,-0.4622,0
2025-08-07,sh.600930,6.45,6.46,6.37,6.38,6.46,164525209,1052743250.52,2,6.5674,1,-1.2384,0
2025-08-08,sh.600930,6.38,6.54,6.35,6.49,6.38,216162781,1400553570.14,2,8.6286,1,1.7241,0
2025-08-11,sh.600930,6.48,6.48,6.4,6.44,6.49,131153505,842738445.88,2,5.2353,1,-0.7704,0
2025-08-12,sh.600930,6.45,6.45,6.4,6.41,6.44,95955634,615407786.38,2,3.8303,1,-0.4658,0
2025-08-13,sh.600930,6.41,6.42,6.38,6.39,6.41,110820363,708578047.72,2,4.4237,1,-0.312,0
2025-08-14,sh.600930,6.38,6.55,6.38,6.46,6.39,225215169,1457602442.52,2,8.99,1,1.0955,0
2025-08-15,sh.600930,6.43,6.47,6.39,6.46,6.46,137445531,882902345.75,2,5.4865,1,0.0,0
2025-08-18,sh.600930,6.45,6.5,6.43,6.49,6.46,166784011,1080148808.99,2,6.6576,1,0.4644,0
2025-08-19,sh.600930,6.48,6.49,6.43,6.44,6.49,128651768,829538561.69,2,5.1354,1,-0.7704,0
2025-08-20,sh.600930,6.45,6.45,6.41,6.43,6.44,102520864,658160145.99,2,4.0924,1,-0.1553,0
2025-08-21,sh.600930,6.44,6.45,6.42,6.43,6.43,103511162,666064942.24,2,4.1319,1,0.0,0
2025-08-22,sh.600930,6.42,6.44,6.39,6.44,6.43,123891202,794196919.57,2,4.9454,1,0.1555,0
2025-08-25,sh.600930,6.44,6.75,6.44,6.72,6.44,437009978,2884466909.15,2,17.4443,1,4.3478,0
2025-08-26,sh.600930,6.71,6.71,6.61,6.64,6.72,202144390,1342223051.28,2,8.0691,1,-1.1905,0
2025-08-27,sh.600930,6.64,6.88,6.61,6.65,6.64,405572011,2741119809.8,2,16.1894,1,0.1506,0
2025-08-28,sh.600930,6.62,6.65,6.45,6.56,6.65,240100141,1570018352.59,2,9.5842,1,-1.3534,0
2025-08-29,sh.600930,6.53,6.55,6.49,6.51,6.56,112534100,732801255.1,2,4.4921,1,-0.7622,0
2025-09-01,sh.600930,6.51,6.53,6.48,6.5,6.51,93117707,604432653.96,2,3.717,1,-0.1536,0
2025-09-02,sh.600930,6.5,6.56,6.48,6.5,6.5,112369869,731241035.09,2,4.4855,1,0.0,0
2025-09-03,sh.600930,6.49,6.5,6.39,6.4,6.5,113580771,730430008.4,2,4.5338,1,-1.5385,0
2025-09-04,sh.600930,6.39,6.42,6.34,6.37,6.4,93568532,596504540.69,2,3.735,1,-0.4688,0
2025-09-05,sh.600930,6.37,6.4,6.32,6.39,6.37,75094354,477620001.36,2,2.9976,1,0.314,0
2025-09-08,sh.600930,6.4,6.45,6.39,6.42,6.39,63435866,407131051.81,2,2.5322,1,0.4695,0
2025-09-09,sh.600930,6.42,6.43,6.37,6.39,6.42,63083955,403222730.03,2,2.5181,1,-0.4673,0
2025-09-10,sh.600930,6.39,6.39,6.35,6.37,6.39,54622958,347659637.38,2,2.1804,1,-0.313,0
2025-09-11,sh.600930,6.37,6.39,6.34,6.38,6.37,72204742,459116844.82,2,2.8822,1,0.157,0
2025-09-12,sh.600930,6.39,6.39,6.35,6.36,6.38,59273952,377070421.2,2,2.3661,1,-0.3135,0
2025-09-15,sh.600930,6.36,6.36,6.33,6.34,6.36,52642316,333940050.27,2,2.1013,1,-0.3145,0
2025-09-16,sh.600930,6.34,6.35,6.32,6.34,6.34,57048831,361066709.52,2,2.2772,1,0.0,0
2025-09-17,sh.600930,6.33,6.97,6.32,6.71,6.34,535237892,3593227727.09,2,21.3653,1,5.836,0
2025-09-18,sh.600930,6.66,6.66,6.45,6.48,6.71,313558534,2038643345.13,2,12.5164,1,-3.4277,0
2025-09-19,sh.600930,6.45,6.47,6.38,6.4,6.48,109169122,699401466.4,2,4.3577,1,-1.2346,0
2025-09-22,sh.600930,6.4,6.42,6.34,6.37,6.4,79138342,504142188.52,2,3.159,1,-0.4688,0
2025-09-23,sh.600930,6.39,6.48,6.34,6.4,6.37,124430109,795170000.18,2,4.9669,1,0.471,0
2025-09-24,sh.600930,6.39,6.4,6.36,6.4,6.4,71974108,459147840.38,2,2.873,1,0.0,0
2025-09-25,sh.600930,6.39,6.44,6.37,6.39,6.4,61206537,391659595.51,2,2.4432,1,-0.1563,0
2025-09-26,sh.600930,6.37,6.41,6.36,6.37,6.39,58610559,374342564.41,2,2.3396,1,-0.313,0
2025-09-29,sh.600930,6.37,6.4,6.36,6.4,6.37,64407248,411030576.72,2,2.571,1,0.471,0
2025-09-30,sh.600930,6.39,6.4,6.37,6.39,6.4,63061629,402849751.26,2,2.5173,1,-0.1563,0
2025-10-09,sh.600930,6.39,6.45,6.39,6.45,6.39,109312051,701473603.87,2,4.3634,1,0.939,0
2025-10-10,sh.600930,6.44,6.53,6.41,6.45,6.45,112156961,724829432.28,2,4.477,1,0.0,0
2025-10-13,sh.600930,6.36,6.43,6.33,6.41,6.45,88271330,563632871.34,2,3.5236,1,-0.6202,0
2025-10-14,sh.600930,6.42,6.48,6.41,6.43,6.41,116861527,753084976.75,2,4.6648,1,0.312,0
2025-10-15,sh.600930,6.43,6.45,6.41,6.44,6.43,72862961,468206237.6,2,2.9085,1,0.1555,0
2025-10-16,sh.600930,6.43,6.47,6.42,6.42,6.44,73514883,473203365.1,2,2.9345,1,-0.3106,0
2025-10-17,sh.600930,6.42,6.43,6.35,6.35,6.42,101757147,649343366.72,2,4.0619,1,-1.0903,0
2025-10-20,sh.600930,6.38,6.39,6.35,6.37,6.35,54630728,347496206.69,2,2.1807,1,0.315,0
2025-10-21,sh.600930,6.37,6.39,6.36,6.39,6.37,58291778,371798515.27,2,2.3269,1,0.314,0
2025-10-22,sh.600930,6.38,6.4,6.37,6.38,6.39,45744881,292063066.0,2,1.826,1,-0.1565,0
2025-10-23,sh.600930,6.38,6.41,6.36,6.41,6.38,73082674,466837608.89,2,2.9173,1,0.4702,0
2025-10-24,sh.600930,6.41,6.42,6.38,6.41,6.41,60562199,387721437.4,2,2.4175,1,0.0,0
2025-10-27,sh.600930,6.42,6.48,6.41,6.45,6.41,99969107,644915957.53,2,3.9905,1,0.624,0
2025-10-28,sh.600930,6.45,6.46,6.42,6.44,6.45,67707365,435645042.05,2,2.7027,1,-0.155,0
2025-10-29,sh.600930,6.44,6.44,6.4,6.44,6.44,69892941,448597481.49,2,2.7899,1,0.0,0
2025-10-30,sh.600930,6.44,6.52,6.43,6.45,6.44,135743035,878956068.76,2,5.4185,1,0.1553,0
2025-10-31,sh.600930,6.45,6.46,6.41,6.42,6.45,82060683,527158401.76,2,3.2756,1,-0.4651,0
2025-11-03,sh.600930,6.42,6.43,6.39,6.41,6.42,62622664,400931067.98,2,2.4997,1,-0.1558,0
2025-11-04,sh.600930,6.4,6.44,6.4,6.42,6.41,65589946,421010855.93,2,2.6182,1,0.156,0
2025-11-05,sh.600930,6.41,6.55,6.4,6.55,6.42,229316279,1489282771.26,2,9.1537,1,2.0249,0
2025-11-06,sh.600930,6.57,6.58,6.5,6.52,6.55,130167144,850170162.48,2,5.1959,1,-0.458,0
2025-11-07,sh.600930,6.52,6.57,6.48,6.48,6.52,100772627,657320497.01,2,4.0226,1,-0.6135,0
2025-11-10,sh.600930,6.5,6.57,6.49,6.55,6.48,107587875,704120991.54,2,4.2946,1,1.0802,0
2025-11-11,sh.600930,6.56,6.58,6.51,6.53,6.55,81038778,529745255.23,2,3.2349,1,-0.3053,0
2025-11-12,sh.600930,6.52,6.54,6.46,6.49,6.53,69691408,452347245.84,2,2.7819,1,-0.6126,0
2025-11-13,sh.600930,6.49,6.5,6.45,6.48,6.49,60410983,390841945.18,2,2.4114,1,-0.1541,0
2025-11-14,sh.600930,6.47,6.53,6.46,6.48,6.48,71318725,463408848.84,2,2.8469,1,0.0,0
2025-11-17,sh.600930,6.48,6.49,6.44,6.48,6.48,65191064,421266419.56,2,2.6023,1,0.0,0
2025-11-18,sh.600930,6.48,6.5,6.4,6.41,6.48,83333656,536496462.08,2,3.3265,1,-1.0802,0
2025-11-19,sh.600930,6.41,6.43,6.37,6.39,6.41,64855262,414485139.78,2,2.5889,1,-0.312,0
2025-11-20,sh.600930,6.38,6.4,6.35,6.35,6.39,68338677,435456269.34,2,2.7279,1,-0.626,0
2025-11-21,sh.600930,6.34,6.34,6.12,6.13,6.35,159686298,990767331.71,2,6.3743,1,-3.4646,0
2025-11-24,sh.600930,6.13,6.16,6.07,6.12,6.13,65281157,398452679.88,2,2.6059,1,-0.1631,0
2025-11-25,sh.600930,6.11,6.17,6.1,6.17,6.12,50357189,309850847.1,2,2.0101,1,0.817,0
2025-11-26,sh.600930,6.17,6.21,6.15,6.16,6.17,45690420,282363741.54,2,1.8238,1,-0.1621,0
2025-11-27,sh.600930,6.15,6.19,6.14,6.16,6.16,36806803,227032676.54,2,1.4692,1,0.0,0
