date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.600115,3.89,3.9,3.75,3.78,3.88,70733042,268413431.1,2,0.4133,1,-2.5773,0
2025-02-06,sh.600115,3.77,3.8,3.75,3.76,3.78,66372019,250145097.56,2,0.3878,1,-0.5291,0
2025-02-07,sh.600115,3.77,3.82,3.74,3.79,3.76,70639620,267632562.4,2,0.4127,1,0.7979,0
2025-02-10,sh.600115,3.81,3.88,3.79,3.85,3.79,67285983,257884917.35,2,0.3932,1,1.5831,0
2025-02-11,sh.600115,3.84,3.86,3.74,3.75,3.85,73508848,277332029.21,2,0.4295,1,-2.5974,0
2025-02-12,sh.600115,3.76,3.79,3.73,3.76,3.75,47538334,178434793.87,2,0.2778,1,0.2667,0
2025-02-13,sh.600115,3.76,3.81,3.76,3.78,3.76,60435143,228947766.96,2,0.3531,1,0.5319,0
2025-02-14,sh.600115,3.77,3.81,3.76,3.78,3.78,41174933,155625906.05,2,0.2406,1,0.0,0
2025-02-17,sh.600115,3.78,3.79,3.73,3.74,3.78,62474462,233716548.88,2,0.365,1,-1.0582,0
2025-02-18,sh.600115,3.74,3.74,3.66,3.67,3.74,72978860,270257388.2,2,0.4264,1,-1.8717,0
2025-02-19,sh.600115,3.68,3.68,3.64,3.66,3.67,76798722,280935419.6,2,0.4487,1,-0.2725,0
2025-02-20,sh.600115,3.67,3.7,3.64,3.66,3.66,58931529,215978951.25,2,0.3443,1,0.0,0
2025-02-21,sh.600115,3.67,3.69,3.64,3.68,3.66,51040851,187235627.45,2,0.2982,1,0.5464,0
2025-02-24,sh.600115,3.68,3.83,3.67,3.81,3.68,151240961,569515532.17,2,0.8837,1,3.5326,0
2025-02-25,sh.600115,3.8,3.87,3.77,3.81,3.81,94314265,361188025.3,2,0.5511,1,0.0,0
2025-02-26,sh.600115,3.83,3.86,3.74,3.78,3.81,77235604,291553488.08,2,0.4513,1,-0.7874,0
2025-02-27,sh.600115,3.77,3.84,3.76,3.84,3.78,79070259,301473583.76,2,0.462,1,1.5873,0
2025-02-28,sh.600115,3.83,3.88,3.82,3.83,3.84,83961240,323006777.51,2,0.4906,1,-0.2604,0
2025-03-03,sh.600115,3.83,3.86,3.81,3.82,3.83,59479505,228025320.11,2,0.3475,1,-0.2611,0
2025-03-04,sh.600115,3.82,3.86,3.79,3.82,3.82,53848504,206062182.2,2,0.3146,1,0.0,0
2025-03-05,sh.600115,3.83,3.91,3.82,3.91,3.82,99006499,383908015.14,2,0.5785,1,2.356,0
2025-03-06,sh.600115,3.93,3.96,3.86,3.89,3.91,79362018,309501418.28,2,0.4637,1,-0.5115,0
2025-03-07,sh.600115,3.89,3.89,3.85,3.86,3.89,48144895,186326402.65,2,0.2813,1,-0.7712,0
2025-03-10,sh.600115,3.86,3.88,3.8,3.81,3.86,60918096,232818830.21,2,0.3559,1,-1.2953,0
2025-03-11,sh.600115,3.8,3.86,3.79,3.86,3.81,44682601,170704861.83,2,0.2611,1,1.3123,0
2025-03-12,sh.600115,3.84,3.86,3.78,3.79,3.86,62456260,237528094.4,2,0.3649,1,-1.8135,0
2025-03-13,sh.600115,3.79,3.79,3.72,3.74,3.79,73853138,276466363.54,2,0.4315,1,-1.3193,0
2025-03-14,sh.600115,3.74,3.79,3.73,3.79,3.74,55317923,208429336.25,2,0.3232,1,1.3369,0
2025-03-17,sh.600115,3.8,3.85,3.78,3.8,3.79,61872513,235776523.83,2,0.3615,1,0.2639,0
2025-03-18,sh.600115,3.8,3.81,3.77,3.79,3.8,38992255,147646290.62,2,0.2278,1,-0.2632,0
2025-03-19,sh.600115,3.79,3.81,3.75,3.76,3.79,84688453,319933673.91,2,0.4948,1,-0.7916,0
2025-03-20,sh.600115,3.76,3.78,3.69,3.7,3.76,147094657,548296574.33,2,0.8595,1,-1.5957,0
2025-03-21,sh.600115,3.7,3.74,3.68,3.69,3.7,87373646,324132456.46,2,0.5105,1,-0.2703,0
2025-03-24,sh.600115,3.69,3.75,3.69,3.73,3.69,85333309,317770105.66,2,0.4986,1,1.084,0
2025-03-25,sh.600115,3.73,3.84,3.72,3.82,3.73,143670446,545356418.56,2,0.8395,1,2.4129,0
2025-03-26,sh.600115,3.82,3.87,3.79,3.85,3.82,77053847,295502650.95,2,0.4502,1,0.7853,0
2025-03-27,sh.600115,3.84,3.85,3.8,3.8,3.85,55058603,209976884.4,2,0.3217,1,-1.2987,0
2025-03-28,sh.600115,3.81,3.82,3.72,3.73,3.8,81231600,304738326.0,2,0.4746,1,-1.8421,0
2025-03-31,sh.600115,3.72,3.74,3.62,3.63,3.73,135278165,494974937.66,2,0.7904,1,-2.681,0
2025-04-01,sh.600115,3.62,3.72,3.62,3.7,3.63,91321497,335478352.94,2,0.5336,1,1.9284,0
2025-04-02,sh.600115,3.7,3.73,3.67,3.69,3.7,60530366,223504736.13,2,0.3537,1,-0.2703,0
2025-04-03,sh.600115,3.68,3.78,3.66,3.77,3.69,87879847,328367650.68,2,0.5135,1,2.168,0
2025-04-07,sh.600115,3.7,3.7,3.47,3.56,3.77,145278528,521310185.91,2,0.8489,1,-5.5703,0
2025-04-08,sh.600115,3.56,3.63,3.54,3.63,3.56,100796332,362058551.39,2,0.589,1,1.9663,0
2025-04-09,sh.600115,3.59,3.78,3.55,3.76,3.63,137644303,505110608.04,2,0.8043,1,3.5813,0
2025-04-10,sh.600115,3.77,3.77,3.7,3.75,3.76,93383470,348682346.8,2,0.5456,1,-0.266,0
2025-04-11,sh.600115,3.74,3.8,3.71,3.8,3.75,82092196,309755823.39,2,0.4797,1,1.3333,0
2025-04-14,sh.600115,3.79,3.79,3.73,3.74,3.8,74800233,280463406.42,2,0.4371,1,-1.5789,0
2025-04-15,sh.600115,3.74,3.76,3.7,3.73,3.74,58061284,216413436.87,2,0.3393,1,-0.2674,0
2025-04-16,sh.600115,3.72,3.82,3.71,3.8,3.73,100819539,381682432.84,2,0.5891,1,1.8767,0
2025-04-17,sh.600115,3.79,3.85,3.78,3.83,3.8,61606383,235273244.55,2,0.36,1,0.7895,0
2025-04-18,sh.600115,3.83,3.84,3.78,3.8,3.83,43343500,164739055.68,2,0.2533,1,-0.7833,0
2025-04-21,sh.600115,3.8,3.81,3.77,3.79,3.8,37079010,140583715.27,2,0.2167,1,-0.2632,0
2025-04-22,sh.600115,3.8,3.84,3.76,3.78,3.79,47609632,180623983.62,2,0.2782,1,-0.2639,0
2025-04-23,sh.600115,3.77,3.79,3.73,3.74,3.78,56310023,211161647.42,2,0.329,1,-1.0582,0
2025-04-24,sh.600115,3.74,3.79,3.74,3.75,3.74,42428163,159876266.35,2,0.2479,1,0.2674,0
