date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.600023,5.0358808,5.0546714,4.9419278,4.9607184,5.0358808,32318190,171130558.4,2,0.241,1,-1.4925,0
2025-02-06,sh.600023,4.979509,4.9982996,4.9419278,4.9982996,4.9607184,24634413,130196561.9,2,0.1837,1,0.7576,0
2025-02-07,sh.600023,4.9701137,5.0264855,4.9419278,5.0076949,4.9982996,35955413,191052892.25,2,0.2681,1,0.188,0
2025-02-10,sh.600023,4.9982996,5.0264855,4.9419278,4.979509,5.0076949,47324582,250766568.06,2,0.3529,1,-0.5629,0
2025-02-11,sh.600023,4.979509,5.0076949,4.9325325,4.9513231,4.979509,40013225,211384484.57,2,0.2984,1,-0.566,0
2025-02-12,sh.600023,4.9607184,4.9701137,4.9231372,4.9607184,4.9513231,27467140,144586985.68,2,0.2048,1,0.1898,0
2025-02-13,sh.600023,4.9607184,5.0170902,4.9513231,4.979509,4.9607184,38010177,201922244.21,2,0.2835,1,0.3788,0
2025-02-14,sh.600023,4.9982996,5.0264855,4.9513231,4.9889043,4.979509,33570613,178366223.16,2,0.2504,1,0.1887,0
2025-02-17,sh.600023,4.9982996,5.1768103,4.9513231,5.1768103,4.9889043,84842766,459832578.25,2,0.6327,1,3.7665,0
2025-02-18,sh.600023,5.2143915,5.2801586,5.1298338,5.2237868,5.1768103,77021693,429206349.64,2,0.5744,1,0.9074,0
2025-02-19,sh.600023,5.2049962,5.3459257,5.2049962,5.3459257,5.2237868,68967336,388135341.47,2,0.5143,1,2.3381,0
2025-02-20,sh.600023,5.3365304,5.3459257,5.2519727,5.261368,5.3459257,45151467,253972613.67,2,0.3367,1,-1.5817,0
2025-02-21,sh.600023,5.2801586,5.3083445,5.1768103,5.1862056,5.261368,63388937,352970362.43,2,0.4727,1,-1.4286,0
2025-02-24,sh.600023,5.1768103,5.261368,5.1486244,5.1862056,5.1862056,45477822,251629719.44,2,0.3392,1,0.0,0
2025-02-25,sh.600023,5.1486244,5.2143915,5.0922526,5.1298338,5.1862056,52029732,285797101.08,2,0.388,1,-1.087,0
2025-02-26,sh.600023,5.1486244,5.1768103,5.1016479,5.1580197,5.1298338,38206140,209020743.74,2,0.2849,1,0.5495,0
2025-02-27,sh.600023,5.1392291,5.1862056,5.0922526,5.1768103,5.1580197,41551436,227267225.56,2,0.3099,1,0.3643,0
2025-02-28,sh.600023,5.1580197,5.2143915,5.1204385,5.1580197,5.1768103,39968956,219971113.12,2,0.2981,1,-0.363,0
2025-03-03,sh.600023,5.2237868,5.2895539,5.0922526,5.1580197,5.1580197,102052147,563150241.57,2,0.7611,1,0.0,0
