date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.600061,6.99979304,7.05878006,6.93097485,6.96046836,6.9801307,21487601,152757805.97,2,0.3361,1,-0.2817,0
2025-02-06,sh.600061,6.96046836,7.0784424,6.91131251,7.0784424,6.96046836,23170048,165165282.77,2,0.3624,1,1.6949,0
2025-02-07,sh.600061,7.06861123,7.29472814,7.04894889,7.20624761,7.0784424,39069236,285521251.22,2,0.611,1,1.8056,0
2025-02-10,sh.600061,7.19641644,7.2750658,7.18658527,7.23574112,7.20624761,22140105,162827314.31,2,0.3463,1,0.4093,0
2025-02-11,sh.600061,7.23574112,7.23574112,7.10793591,7.16692293,7.23574112,19556560,142286311.0,2,0.3059,1,-0.9511,0
2025-02-12,sh.600061,7.14726059,7.25540346,7.12759825,7.25540346,7.16692293,25114944,183482464.28,2,0.3928,1,1.2346,0
2025-02-13,sh.600061,7.26523463,7.30455931,7.1767541,7.20624761,7.25540346,27344453,201300753.22,2,0.4277,1,-0.6775,0
2025-02-14,sh.600061,7.18658527,7.28489697,7.16692293,7.25540346,7.20624761,24051240,176701285.42,2,0.3762,1,0.6821,0
2025-02-17,sh.600061,7.33405282,7.3733775,7.23574112,7.28489697,7.25540346,32382595,240784547.4,2,0.5065,1,0.4065,0
2025-02-18,sh.600061,7.24557229,7.25540346,7.03911772,7.0784424,7.28489697,29250536,212978686.53,2,0.4575,1,-2.834,0
2025-02-19,sh.600061,7.06861123,7.1767541,7.05878006,7.13742942,7.0784424,23020904,166719992.68,2,0.36,1,0.8333,0
2025-02-20,sh.600061,7.13742942,7.13742942,7.06861123,7.0784424,7.13742942,18484945,133288431.86,2,0.2891,1,-0.8264,0
2025-02-21,sh.600061,7.0784424,7.26523463,7.01945538,7.22590995,7.0784424,35277434,256680762.14,2,0.5517,1,2.0833,0
2025-02-24,sh.600061,7.22590995,7.28489697,7.14726059,7.20624761,7.22590995,30890868,226941257.44,2,0.4831,1,-0.2721,0
2025-02-25,sh.600061,7.16692293,7.1767541,7.04894889,7.05878006,7.20624761,25425489,183679917.18,2,0.3976,1,-2.0464,0
2025-02-26,sh.600061,7.0784424,7.20624761,7.04894889,7.19641644,7.05878006,31516464,228014164.64,2,0.4929,1,1.9499,0
2025-02-27,sh.600061,7.16692293,7.24557229,7.08827357,7.21607878,7.19641644,35665652,260161070.34,2,0.5578,1,0.2732,0
2025-02-28,sh.600061,7.21607878,7.29472814,6.9801307,6.9801307,7.21607878,38864711,280875406.88,2,0.6078,1,-3.2698,0
