date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.600515,3.65,3.67,3.58,3.6,3.65,34058785,122854047.86,2,0.3712,1,-1.3699,0
2025-02-06,sh.600515,3.61,3.64,3.56,3.63,3.6,38330653,138362439.9,2,0.4177,1,0.8333,0
2025-02-07,sh.600515,3.64,3.77,3.61,3.7,3.63,63285859,235175216.33,2,0.6897,1,1.9284,0
2025-02-10,sh.600515,3.71,3.75,3.67,3.69,3.7,41364617,153003188.07,2,0.4508,1,-0.2703,0
2025-02-11,sh.600515,3.7,3.71,3.62,3.64,3.69,37723141,137581994.7,2,0.4111,1,-1.355,0
2025-02-12,sh.600515,3.65,3.71,3.63,3.7,3.64,47166589,173578684.9,2,0.514,1,1.6484,0
2025-02-13,sh.600515,3.69,3.74,3.67,3.67,3.7,44649361,165159819.25,2,0.4866,1,-0.8108,0
2025-02-14,sh.600515,3.67,3.68,3.62,3.64,3.67,42745949,155580056.57,2,0.4658,1,-0.8174,0
2025-02-17,sh.600515,3.64,3.68,3.61,3.64,3.64,40311582,146899382.45,2,0.4393,1,0.0,0
2025-02-18,sh.600515,3.64,3.65,3.57,3.58,3.64,48155743,173096367.65,2,0.5248,1,-1.6484,0
2025-02-19,sh.600515,3.58,3.69,3.57,3.62,3.58,52877064,191702226.47,2,0.5763,1,1.1173,0
2025-02-20,sh.600515,3.61,3.66,3.58,3.6,3.62,45854076,165833401.78,2,0.4997,1,-0.5525,0
2025-02-21,sh.600515,3.6,3.64,3.56,3.61,3.6,47743389,171721570.92,2,0.5203,1,0.2778,0
2025-02-24,sh.600515,3.59,3.68,3.58,3.66,3.61,68540532,249137011.97,2,0.747,1,1.385,0
2025-02-25,sh.600515,3.64,3.75,3.57,3.66,3.66,82991094,304900445.43,2,0.9044,1,0.0,0
2025-02-26,sh.600515,3.67,3.71,3.65,3.69,3.66,41627806,152978843.48,2,0.4537,1,0.8197,0
2025-02-27,sh.600515,3.69,3.86,3.68,3.78,3.69,115300066,437539676.3,2,1.2565,1,2.439,0
2025-02-28,sh.600515,3.76,3.84,3.74,3.78,3.78,88670051,336109897.32,2,0.9663,1,0.0,0
2025-03-03,sh.600515,3.8,3.83,3.72,3.74,3.78,52543886,198157241.44,2,0.5726,1,-1.0582,0
2025-03-04,sh.600515,3.73,3.76,3.69,3.75,3.74,36407818,135578207.02,2,0.3968,1,0.2674,0
2025-03-05,sh.600515,3.76,3.78,3.69,3.76,3.75,44822044,167183622.44,2,0.4885,1,0.2667,0
